taxa,Species,StudyPop,PC1 ,PC2 ,PC3
SRR5350187,P. sativum,Included,23.69621524,27.1735154,26.37329307
SRR5350188,P. sativum subsp. sativum - Primary,Included,61.55368118,-24.76157247,8.474872961
SRR5350189,P. sativum - Central Asia,Included,-78.41623727,212.6731258,-122.5423988
SRR5350190,P. sativum,Included,18.05280149,42.43837974,41.45124997
SRR5350191,P. sativum,Included,20.08771787,35.97086001,14.3545917
SRR5350193,P. sativum,Included,-8.613342161,101.1440689,-55.05569705
SRR5350194,P. sativum subsp. sativum - Primary,Included,41.28196111,20.81213611,-20.4677549
SRR5350195,P. sativum subsp. sativum - Primary,Included,-11.85155806,68.6426966,52.46259777
SRR5350196,P. sativum subsp. sativum - Primary,Included,40.19405168,4.493799578,26.4358923
SRR5350197,P. sativum,Included,24.35229937,13.78972466,33.13058192
SRR5350198,P. sativum,Included,-83.90270776,161.2713808,-9.254445058
SRR5350199,P. sativum subsp. sativum - Primary,Included,22.29650463,21.03343795,43.52617341
SRR5350200,P. sativum subsp. sativum - Primary,Included,60.35905461,-22.52421506,7.403750378
SRR5350202,P. sativum,Included,-57.65296359,169.9653566,-74.85005997
SRR5350203,P. sativum - Central Asia,Included,-95.67845851,204.7732994,-40.89981378
SRR5350204,P. sativum,Included,-64.57948646,161.6129483,-22.04534918
SRR5350205,P. sativum subsp. sativum - Primary,Included,39.50366806,8.895859741,30.30462123
SRR5350206,P. sativum subsp. sativum - Primary,Included,35.81146177,7.482273466,25.1443686
SRR5350207,P. sativum subsp. sativum - Primary,Included,62.63934898,-33.99340732,4.104025184
SRR5350208,P. sativum,Included,22.61668678,16.51233151,38.28396728
SRR5350209,P. sativum,Included,38.65407079,10.09267043,29.89076877
SRR5350210,P. sativum - Central Asia,Included,-52.9127591,189.3211177,-149.3228399
SRR5350211,P. sativum subsp. sativum - Primary,Included,62.60568972,-21.60498691,-8.938292213
SRR5350212,P. sativum subsp. sativum - Primary,Included,23.37473598,39.31126566,-1.167060291
SRR5350213,P. sativum,Included,23.00724316,25.98744689,40.4771034
SRR5350215,P. sativum - Central Asia,Included,-32.51112434,146.7961128,-138.0639301
