TAXA,Fe,K,P,Zn,Ca,IP6
SRR5349960,-7.176059632,-729.0424569,43.39681547,0.700498337,NA,NA
SRR5349961,-2.23042847,314.3725357,410.1933454,1.705822153,-22.34472502,-0.0223267
SRR5349962,4.700938914,-35.54477354,-143.5018587,-0.215174827,28.55948113,NA
SRR5349963,-3.02220688,271.2136681,NA,-0.025020871,-170.0712454,NA
SRR5349964,-3.923109762,377.5594802,148.2353828,-3.326169528,NA,0.07172574
SRR5349965,4.197684573,-231.1805555,18.15754733,1.368059194,NA,NA
SRR5349966,2.406233528,75.40030974,196.3401203,-0.631235789,-192.8892178,-0.0128857
SRR5349967,1.226063103,1495.294209,499.2278903,2.701226049,NA,0.00371308
SRR5349968,NA,NA,NA,NA,296.4901464,NA
SRR5349969,5.264783955,619.1414791,24.59196798,1.743250555,NA,NA
SRR5349970,NA,NA,NA,NA,NA,NA
SRR5349971,0.223706851,-121.8832045,NA,-0.445529544,NA,NA
SRR5349972,3.445540921,-288.7033234,-228.0946791,-0.317211339,NA,0.01287369
SRR5349973,-3.906507582,-323.8115456,-20.5813763,3.224606073,-77.11347934,-0.0078663
SRR5349974,-1.683272913,166.8950799,-353.7567305,-2.546495476,NA,0.04664276
SRR5349975,-8.967899355,-1414.922247,NA,-3.281098372,-90.26855893,-0.0731685
SRR5349976,-1.335993247,488.5929406,NA,3.88766815,-226.2473859,0.05100836
SRR5349977,-2.898135889,-262.5319437,18.2034854,-2.477048987,221.5905328,-0.028964
SRR5349978,-1.575624345,-700.4868422,-388.4905232,-1.662179984,209.750316,-0.0339503
SRR5349979,-5.344218304,126.039,32.55670049,-1.979136557,-103.2463576,0.00538063
SRR5349980,0.624074183,960.970958,NA,0.796214203,53.573574,NA
SRR5349981,-9.3185162,-245.9989646,-464.2516906,-4.064503632,-16.02170787,-0.0224847
SRR5349982,NA,NA,NA,NA,-105.8206351,NA
SRR5349983,0.488120924,-535.2294755,-45.07801284,0.501909976,NA,-0.0240971
