taxa,Species,PC1,PC2,PC3
SRR5349900,USDA-ARS,40.02935707,-17.80543272,4.657731715
SRR5349901,USDA-ARS,22.68032308,-6.613559362,-13.78835593
SRR5349902,USDA-ARS,39.39721149,-17.48555015,2.365231848
SRR5349903,USDA-ARS,27.18881585,-9.365365451,-8.231309246
SRR5349904,USDA-ARS,43.00983815,-17.93092767,16.66566088
SRR5349905,USDA-ARS,40.24994818,-17.2277135,11.44412918
SRR5349906,USDA-ARS,42.7836292,-17.57565828,15.6895186
SRR5349907,USDA-ARS,42.79134355,-17.93514719,16.86618763
SRR5349908,USDA-ARS,40.16667076,-17.17572461,22.20537581
SRR5349909,USDA-ARS,41.14838746,-18.20761739,15.07421312
SRR5349910,USDA-ARS,20.17193016,4.340840779,8.966252726
SRR5349911,USDA-ARS,35.64785,-15.383482,10.98714409
SRR5349912,USDA-ARS,40.11243787,-17.3129597,5.859207233
SRR5349913,USDA-ARS,41.44653161,-17.83063536,23.88035682
SRR5349914,USDA-ARS,42.60123355,-18.64290568,25.62500183
SRR5349915,USDA-ARS,39.23144825,-17.63120369,12.56518141
SRR5349916,USDA-ARS,42.91372879,-19.52990364,16.92420629
SRR5349917,USDA-ARS,42.11746973,-16.75136044,28.76195237
SRR5349918,USDA-ARS,37.46526347,-16.65264542,1.770400828
SRR5349919,USDA-ARS,41.75409047,-18.49043862,23.50099622
SRR5349920,USDA-ARS,40.57354952,-16.0624133,12.18273965
SRR5349921,USDA-ARS,38.32400145,-14.38423801,15.1215152
SRR5349922,USDA-ARS,38.72303028,-16.79801538,9.726793965
SRR5349923,USDA-ARS,37.44638048,-15.26912397,-0.527081172
SRR5349924,USDA-ARS,43.12740539,-19.79641887,18.44818104
SRR5349925,P. sativum,-1.069220944,9.547699573,-76.81413372
SRR5349926,P. sativum,11.19683539,-0.236094409,-54.06415373
SRR5349927,P. sativum,6.92128271,3.961647801,-46.99360473
SRR5349928,P. sativum,11.0444912,0.26446529,-55.16882102
SRR5349929,P. sativum subsp. elatius,6.662736932,2.107432127,-15.44685891
SRR5349930,P. sativum,-87.97055968,120.1203132,32.0505035
SRR5349931,P. sativum,-90.68124554,117.5633191,28.67621898
SRR5349932,P. sativum,-94.46076963,127.3284956,33.27737082
SRR5349933,P. sativum,-49.48817662,18.27381447,-24.58983132
SRR5349934,P. sativum,-57.88205287,7.102804427,-17.00176865
SRR5349935,USDA-ARS,33.86090095,-11.09212433,3.846490326
SRR5349936,P. sativum,39.9844294,-18.05976595,4.553225465
SRR5349937,P. sativum,-100.149807,-37.11019597,-9.368266552
SRR5349938,P. sativum subsp. elatius,-88.74089221,-22.5520497,-11.69093534
SRR5349939,P. sativum subsp. elatius,-5.247658509,-7.497038348,-16.3149087
SRR5349940,P. sativum subsp. elatius,-37.54116277,-14.83854704,-23.21033189
SRR5349941,P. sativum,19.43106036,-4.185402869,-21.08308701
SRR5349942,P. sativum,11.12909627,-0.796616109,-24.53483335
SRR5349943,P. sativum,-3.334000036,10.06163662,-68.77792117
SRR5349944,P. sativum,-8.9798356,21.23843788,-56.42887044
SRR5349945,P. sativum subsp. sativum - Primary,30.72161886,-5.887635746,-14.44175462
SRR5349946,P. sativum,-7.939099189,18.12456575,-51.76388074
SRR5349947,P. sativum subsp. elatius,-27.41699862,17.91753096,-34.25430127
SRR5349948,P. sativum,-88.48962847,-19.42504636,-12.48643219
SRR5349949,P. sativum subsp. sativum - Primary,36.70566511,-11.36838534,-1.250226716
SRR5349950,P. sativum subsp. sativum - Primary,27.68573189,-2.61116052,-14.99033352
SRR5349951,P. sativum,18.24231645,-3.53071744,-23.75608742
SRR5349952,P. sativum,28.50415883,-7.066341287,-27.05028877
SRR5349953,P. sativum subsp. sativum - Primary,45.74332561,-21.39473924,38.28443787
SRR5349954,P. sativum,13.84792603,-1.645164675,-31.56922527
SRR5349955,P. sativum,47.25561563,-21.86553029,37.14059186
SRR5349956,P. sativum,-2.279550881,8.845194955,-83.85220395
SRR5349957,P. sativum,21.01649913,-3.167049474,-24.02328802
SRR5349958,P. sativum,16.53860857,-0.949515248,-38.9815211
SRR5349959,P. sativum,-10.83953164,34.71671175,-3.259493559
SRR5349960,P. sativum subsp. sativum - Primary,44.99573782,-21.64812867,27.93819178
SRR5349961,P. sativum subsp. sativum - Primary,50.28802662,-22.96849638,47.77632952
SRR5349962,P. sativum,35.48871625,-10.75324665,-15.78855764
SRR5349963,P. sativum subsp. sativum - Primary,35.031696,-15.89433917,22.39997053
SRR5349964,P. sativum subsp. sativum - Primary,46.31471524,-21.90656251,35.64435639
SRR5349965,P. sativum subsp. sativum - Primary,35.34149505,-11.34638869,-16.05041452
SRR5349966,P. sativum subsp. sativum - Primary,47.11945952,-21.60884103,45.29352119
SRR5349967,P. sativum subsp. sativum - Primary,48.24345327,-22.60895399,45.75206526
SRR5349968,P. sativum,15.68988177,-3.609826132,-31.49366931
SRR5349969,P. sativum,2.162950244,5.983486534,-39.1298491
SRR5349970,P. sativum,7.274013886,3.09369417,-61.717168
SRR5349971,P. sativum,39.74383792,-16.01371437,14.67632191
SRR5349972,P. sativum,-0.675797607,9.121282801,-83.80483348
SRR5349973,P. sativum,30.24826994,-9.716363515,-2.373242145
SRR5349974,P. sativum subsp. sativum - Primary,37.12884142,-10.67208112,-2.495279485
SRR5349975,P. sativum subsp. sativum - Primary,44.78423597,-19.45287224,23.68883346
SRR5349976,P. sativum subsp. sativum - Primary,43.50323046,-19.94140397,28.27481286
SRR5349977,P. sativum subsp. sativum - Primary,30.30700032,-6.508020053,-13.74969196
SRR5349978,P. sativum,24.68314422,3.918507073,-3.132006072
SRR5349979,P. sativum,32.3171484,-7.689841387,-15.54199
SRR5349980,P. sativum subsp. abyssinicum,-88.81517902,-26.619283,-9.194907665
SRR5349981,P. sativum,29.31263958,-4.30442168,-9.263202859
SRR5349982,P. sativum subsp. sativum - Primary,12.579792,15.00566031,-17.4235542
SRR5349983,P. sativum,-1.010673308,9.938279745,-82.10170288
SRR5349984,P. sativum subsp. sativum - Primary,12.4927454,15.18630356,-17.34800941
SRR5349985,P. sativum,12.48201309,15.18205623,-17.29049245
SRR5349986,P. sativum,21.12554314,5.428150028,-17.62753351
SRR5349987,P. sativum,-54.72476791,88.1857108,17.37738642
SRR5349988,P. sativum subsp. sativum - Primary,22.33117816,5.77336205,-16.82615232
SRR5349989,P. sativum subsp. sativum - Primary,41.28365085,-15.61392626,23.96424164
